timestamp_utc	run_id	universe	model	reasoning	candidates	frozen	generated	repaired	rejected	kept	rows_after	queries_after	dataset_sha256	status	description
2026-08-25T12:58:35Z	baseline-5292	all	none	none	0	0	0	0	0	0	5292	15624	3a8e0d0b4179ab0252a8e5f3589f02bf393c24380f35b8db34df0a424d3ed8b8	keep	verified Witcher-extended baseline
2026-08-25T15:18:05Z	source-freeze-hp-v1	harry_potter	none	none	8393	1600	0	0	0	0	5292	15624	3a8e0d0b4179ab0252a8e5f3589f02bf393c24380f35b8db34df0a424d3ed8b8	freeze	selected SHA 21dc168c61d3b76b4360c58873b4501d007f753757cba148b45f3fd3592594db; reserve 160 SHA 4dde91ed888edea341610f88915de1e61c351daa50a18e7afab865cd725d8125
2026-08-25T15:18:06Z	source-freeze-hg-v1	the_hunger_games	none	none	2125	1300	0	0	0	0	5292	15624	3a8e0d0b4179ab0252a8e5f3589f02bf393c24380f35b8db34df0a424d3ed8b8	freeze	selected SHA e1f9a5f212fbb61ccda51b0b7968764b69c5b1067ef75167604f7af951b70251; reserve 130 SHA 7da77e471fa6184c8ae8d1d272614b0fd2b5e69b8c6f0a4ef55426f3dd69c23c
2026-08-25T15:18:07Z	source-freeze-me-v1	middle_earth	none	none	4226	1808	0	0	0	0	5292	15624	3a8e0d0b4179ab0252a8e5f3589f02bf393c24380f35b8db34df0a424d3ed8b8	freeze	selected SHA 22b400957238644f1202ba9f184a49e34853be4be1c19d68b2a6d08d5f716dea; reserve 181 SHA ae07ed60a619b05c82c07397b1bb6facfc2b88f988680035c37daabbce4aa038
2026-08-25T17:11:46Z	hp-001	harry_potter	gpt-5.6-sol	medium+high	300	300	305	151	5	300	5592	17424	c7357cec8568cf7d63adf2b6fd8e53eb8f5f6ce55ea355571283b96f881eda9d	keep	original source SHA fcaddb9f2b7922d3b7b128ddfcb432099d5f07e6434e08a3221be6d9b3b2087d; effective SHA 0a28c6e4400bead26a5a5230921bc52a8cd12c677c6041bb5df85663fa219390; five frozen-reserve replacements; HF private commit 17bc9bd6dfb05170bf2967e4c287171b1bcb2876; remote raw SHA and Viewer parquet 5592 rows verified
2026-08-25T18:32:49Z	hp-002	harry_potter	gpt-5.6-sol	medium+high	300	300	303	110	3	300	5892	19224	cb1ea5a2de4cb502dbf98f6badb93cb7becccb26996483ed120147e4e030cc04	keep	original source SHA e579ac1bb185ed4c694386dcacdeecf1d425cb1907a20da174c2df5ad99fe03e; effective SHA 9072222648c9fcc3ec6e84df4b88f7a232ec783c80de934fe6308c97ba638218; three new frozen-reserve replacements with prior reserve IDs excluded; HF private commit a113dfa5670ce192ec9dfd26f5db6fa3d2ba2ac8; remote raw SHA and Viewer parquet 5892 rows verified
2026-08-28T00:31:08Z	hp-003	harry_potter	gpt-5.6-sol	medium+high	300	300	301	117	1	300	6192	21024	911a9843a774af8e6fb0e3715a8cb010c4ed3e646d21c8de05b27f82a9e65489	keep	original source SHA c3cb53f5f248408e327078f4b33687ceca41694eae2380a0da6b4df8dda964a0; effective SHA bb38f86f2d10cf7c03f583b867bbae1295abc3ee41634faacfeea10a56cf19bd; one frozen-reserve replacement; two global duplicate queries repaired; tracked resume cost USD 0.029044; HF private commit 7af7f79f69e75dd69912f867736189bf09b02778; remote raw SHA and Viewer parquet 6192 rows verified
2026-08-28T03:17:13Z	hp-004	harry_potter	gpt-5.6-sol	medium+high	300	300	301	124	1	300	6492	22824	a21db172b5bd3e14505be36b17f9c5ad1cfb73643546114a7518598d0001db56	keep	original source SHA 72f9874c98d9d34424f2376d110f0f741409d1a557cb99d264441a575ba2bed3; effective SHA fa8823daac5c759b892746ea39c98f14806ece53fffa989c4c0e5f61af2c82fc; one frozen-reserve replacement; three global-collision rows repaired; 923 tracked calls estimated USD 10.589180; HF private commit 6a0bc1e8f3ee2bf1949561b3019faf391402718b; remote raw SHA and Viewer parquet 6492 rows verified
2026-08-28T03:26:32Z	hp-005	harry_potter	gpt-5.6-sol	medium+high	300	300	303	117	3	300	6792	24624	50c61a7471210e269cb481f6490021711cc477eee3685344d4ab40314e7ee948	keep	original source SHA d2d713957a5e2207f07409d594a103e2a67584e1601aba712f796047c965809b; effective SHA e301a3b89aaa7230d289ee34ffc36350ba9590eb6e10c7d2f00e47dc0d5c4f58; three frozen-reserve replacements; seven initial global-collision rows and one new hp-004 collision repaired; 953 tracked calls estimated USD 11.314200; HF private commit 68c632f20b7d0dd0df3ff3209acee844104505c4; remote raw SHA and Viewer parquet 6792 rows verified
2026-08-28T03:41:38Z	hp-006	harry_potter	gpt-5.6-sol	medium+high	100	100	101	40	1	100	6892	25224	54dc7dd8351e8c7a2a02795088f0649d8a08989b3afce344352384d7c27b1263	keep	original source SHA 9a7f7586819e80488339f1fdfd0e8e225882d99721abe34288712b2f0f0a7d25; effective SHA e1ba0c0a22b55c1e7df806e9f673cbf95f8b766695fb6f9068632b7536d51ca8; one frozen-reserve replacement accepted after two repairs; zero global collisions; 316 tracked Batch calls estimated USD 3.848247; HF private commit 86813e8a6c5cf029d8e61b5c03ec0dd1b2da746e; remote raw SHA and Viewer parquet 6892 rows verified; Harry Potter milestone 1600 rows complete
